c, -0.5959664479839, -0.852083866321,0,  0.365, 0.541, 0.659, 
d, -0.6073173180042, -0.8391673590565,0,  0.365, 0.541, 0.659,
e, -0.5983149038502, -0.7757590506671,0,  0.365, 0.541, 0.659,
h, -0.5521286051468, -0.7362267102515,0,  0.365, 0.541, 0.659,
j, -0.5544770610131, -0.6481596152662,0,  0.365, 0.541, 0.659,
m, -0.5360808233939, -0.5804458044553,0,  0.365, 0.541, 0.659,
n, -0.4914601619347, -0.5550041992373,0,  0.365, 0.541, 0.659,
q, -0.4836319757138, -0.5369993709292,0,  0.365, 0.541, 0.659,
r, -0.4691498312051, -0.5189945426211,0,  0.365, 0.541, 0.659,
s, -0.4292260814784, -0.5142976308885,0,  0.365, 0.541, 0.659,
t, -0.4057415228157, -0.5295625940193,0,  0.365, 0.541, 0.659,
u, -0.4034660555232, -0.5759494646967,0,  0.365, 0.541, 0.659,
o, -0.4131782997255, -0.5988420420744,0,  0.365, 0.541, 0.659,
l, -0.4288346721674, -0.6101929120948,0,  0.365, 0.541, 0.659,
k, -0.4546676866964, -0.6759496763505,0,  0.365, 0.541, 0.659,
i, -0.4988969388446, -0.6935630953475,0,  0.365, 0.541, 0.659,
g, -0.5313839116614, -0.7432720778503,0,  0.365, 0.541, 0.659,
f, -0.553694242391, -0.8219453493705,0, 0.365, 0.541, 0.659,