a6, 0.0559492855392, -0.470496517325,0, 0.1, 0.749, 0,
b6, 0.0552551534861, -0.4347487165911,0, 0.1, 0.749, 0,
c6, 0.0680965964682, -0.4094128966534,0, 0.1, 0.749, 0,
d6, 0.111479849786, -0.3788710863177,0, 0.1, 0.749, 0,
e6, 0.1406333960156, -0.3736650959195,0, 0.1, 0.749, 0,
h2, 0.0774621482146, -0.507450227817,0, 0.1, 0.749, 0,
i2, 0.2057504564193, -0.478100135165,0, 0.1, 0.749, 0,
j2, 0.2592433672205, -0.4709993062975,0, 0.1, 0.749, 0,  
k2, 0.2919071800106, -0.4591645915185,0, 0.1, 0.749, 0,
l2, 0.3425597592649, -0.4274475559107,0, 0.1, 0.749, 0,
m2, 0.3619686915025, -0.3928901887559,0, 0.1, 0.749, 0,
n2, 0.3504253748502, -0.3387401489523,0, 0.1, 0.749, 0,
o2, 0.3405192134473, -0.3033610010847,0, 0.1, 0.749, 0,
p2, 0.3108007292385, -0.308549942772,0, 0.1, 0.749, 0,
q2, 0.3178765588121, -0.2859072881367,0, 0.1, 0.749, 0,
r2, 0.2938187382621, -0.2717556289897,0, 0.1, 0.749, 0,
s2, 0.2282493842143, -0.3410987588101,0, 0.1, 0.749, 0,
t2, 0.2225887205554, -0.3835537362512,0, 0.1, 0.749, 0,
u2, 0.2107956712663, -0.3972336734266,0, 0.1, 0.749, 0,
v2, 0.1607931422801, -0.3953467855404,0, 0.1, 0.749, 0,